Datetime,Global_active_power,hour,dayofweek
2006-12-16 17:00:00,4.222888888888889,17,5
2006-12-16 18:00:00,3.6321999999999997,18,5
2006-12-16 19:00:00,3.4002333333333334,19,5
2006-12-16 20:00:00,3.2685666666666666,20,5
2006-12-16 21:00:00,3.0564666666666667,21,5
2006-12-16 22:00:00,2.2001333333333335,22,5
2006-12-16 23:00:00,2.0616,23,5
2006-12-17 00:00:00,1.8824666666666665,0,6
2006-12-17 01:00:00,3.3494,1,6
2006-12-17 02:00:00,1.5872666666666668,2,6
2006-12-17 03:00:00,1.6622,3,6
2006-12-17 04:00:00,2.2157666666666667,4,6
2006-12-17 05:00:00,1.9967333333333335,5,6
2006-12-17 06:00:00,1.3033000000000001,6,6
2006-12-17 07:00:00,1.6200333333333332,7,6
2006-12-17 08:00:00,1.8905666666666667,8,6
2006-12-17 09:00:00,2.5490666666666666,9,6
2006-12-17 10:00:00,3.6289000000000002,10,6
2006-12-17 11:00:00,2.4709999999999996,11,6
2006-12-17 12:00:00,1.9158666666666666,12,6
2006-12-17 13:00:00,1.6607666666666667,13,6
2006-12-17 14:00:00,2.092633333333333,14,6
2006-12-17 15:00:00,2.9854,15,6
2006-12-17 16:00:00,3.3260333333333336,16,6
2006-12-17 17:00:00,3.406766666666667,17,6
2006-12-17 18:00:00,3.6971,18,6
2006-12-17 19:00:00,2.9084,19,6
2006-12-17 20:00:00,3.3615,20,6
2006-12-17 21:00:00,3.040766666666667,21,6
2006-12-17 22:00:00,1.518,22,6
2006-12-17 23:00:00,0.4377333333333333,23,6
2006-12-18 00:00:00,0.2763666666666667,0,0
2006-12-18 01:00:00,0.31329999999999997,1,0
2006-12-18 02:00:00,0.2844666666666667,2,0
2006-12-18 03:00:00,0.30993333333333334,3,0
2006-12-18 04:00:00,1.0263333333333333,4,0
2006-12-18 05:00:00,0.2935,5,0
2006-12-18 06:00:00,0.61,6,0
2006-12-18 07:00:00,2.4504333333333337,7,0
2006-12-18 08:00:00,2.082133333333333,8,0
2006-12-18 09:00:00,1.6293333333333335,9,0
2006-12-18 10:00:00,1.3096333333333334,10,0
2006-12-18 11:00:00,1.5619333333333332,11,0
2006-12-18 12:00:00,1.7560666666666667,12,0
2006-12-18 13:00:00,1.6820666666666668,13,0
2006-12-18 14:00:00,1.7330333333333334,14,0
2006-12-18 15:00:00,1.7842999999999998,15,0
2006-12-18 16:00:00,1.9493,16,0
2006-12-18 17:00:00,2.1549,17,0
2006-12-18 18:00:00,2.402533333333333,18,0
2006-12-18 19:00:00,2.6145,19,0
2006-12-18 20:00:00,3.0505666666666666,20,0
2006-12-18 21:00:00,2.1697333333333333,21,0
2006-12-18 22:00:00,1.7388000000000001,22,0
2006-12-18 23:00:00,1.5472666666666666,23,0
2006-12-19 00:00:00,0.8371333333333334,0,1
2006-12-19 01:00:00,0.3530333333333333,1,1
2006-12-19 02:00:00,0.3272333333333333,2,1
2006-12-19 03:00:00,0.3083,3,1
2006-12-19 04:00:00,0.32783333333333337,4,1
2006-12-19 05:00:00,0.30666666666666664,5,1
2006-12-19 06:00:00,0.7963333333333333,6,1
2006-12-19 07:00:00,1.7856333333333334,7,1
2006-12-19 08:00:00,3.879033333333333,8,1
2006-12-19 09:00:00,1.6177666666666668,9,1
2006-12-19 10:00:00,0.4371333333333334,10,1
2006-12-19 11:00:00,2.321633333333333,11,1
2006-12-19 12:00:00,0.43066666666666664,12,1
2006-12-19 13:00:00,0.30046666666666666,13,1
2006-12-19 14:00:00,0.3021333333333333,14,1
2006-12-19 15:00:00,0.42136666666666667,15,1
2006-12-19 16:00:00,1.3721333333333334,16,1
2006-12-19 17:00:00,2.1115,17,1
2006-12-19 18:00:00,2.2047000000000003,18,1
2006-12-19 19:00:00,1.8420999999999998,19,1
2006-12-19 20:00:00,2.940533333333333,20,1
2006-12-19 21:00:00,1.4428666666666667,21,1
2006-12-19 22:00:00,0.7200000000000001,22,1
2006-12-19 23:00:00,0.3837,23,1
2006-12-20 00:00:00,0.4598333333333333,0,2
2006-12-20 01:00:00,0.25866666666666666,1,2
2006-12-20 02:00:00,0.7843666666666667,2,2
2006-12-20 03:00:00,0.3100333333333333,3,2
2006-12-20 04:00:00,0.289,4,2
2006-12-20 05:00:00,0.2627,5,2
2006-12-20 06:00:00,0.28359999999999996,6,2
2006-12-20 07:00:00,1.5266333333333333,7,2
2006-12-20 08:00:00,2.9176,8,2
2006-12-20 09:00:00,1.3855333333333333,9,2
2006-12-20 10:00:00,1.5103000000000002,10,2
2006-12-20 11:00:00,2.8924000000000003,11,2
2006-12-20 12:00:00,1.4210333333333334,12,2
2006-12-20 13:00:00,1.4284,13,2
2006-12-20 14:00:00,1.2949,14,2
2006-12-20 15:00:00,0.2811333333333333,15,2
2006-12-20 16:00:00,0.46843333333333337,16,2
2006-12-20 17:00:00,0.5735,17,2
2006-12-20 18:00:00,2.8368333333333333,18,2
2006-12-20 19:00:00,3.2486333333333333,19,2
2006-12-20 20:00:00,3.5754666666666663,20,2
2006-12-20 21:00:00,3.646066666666667,21,2
2006-12-20 22:00:00,3.058966666666667,22,2
2006-12-20 23:00:00,2.3817666666666666,23,2
2006-12-21 00:00:00,1.5358666666666667,0,3
2006-12-21 01:00:00,1.3979666666666666,1,3
2006-12-21 02:00:00,1.2749,2,3
2006-12-21 03:00:00,0.3026,3,3
2006-12-21 04:00:00,0.24673333333333333,4,3
2006-12-21 05:00:00,0.2907,5,3
2006-12-21 06:00:00,0.29566666666666663,6,3
2006-12-21 07:00:00,1.2804666666666666,7,3
2006-12-21 08:00:00,1.5630333333333333,8,3
2006-12-21 09:00:00,2.5758,9,3
2006-12-21 10:00:00,1.7677,10,3
2006-12-21 11:00:00,0.5346551724137931,11,3
2006-12-21 12:00:00,0.8191333333333333,12,3
2006-12-21 13:00:00,1.6882333333333333,13,3
2006-12-21 14:00:00,1.0239,14,3
2006-12-21 15:00:00,0.3074,15,3
2006-12-21 16:00:00,1.3600666666666668,16,3
2006-12-21 17:00:00,1.7526333333333333,17,3
2006-12-21 18:00:00,2.4433000000000002,18,3
2006-12-21 19:00:00,2.1971333333333334,19,3
2006-12-21 20:00:00,2.4373666666666667,20,3
2006-12-21 21:00:00,0.9822666666666666,21,3
2006-12-21 22:00:00,0.28026666666666666,22,3
2006-12-21 23:00:00,0.2704333333333333,23,3
2006-12-22 00:00:00,0.2669333333333333,0,4
2006-12-22 01:00:00,0.272,1,4
2006-12-22 02:00:00,0.26763333333333333,2,4
2006-12-22 03:00:00,0.27386666666666665,3,4
2006-12-22 04:00:00,0.26426666666666665,4,4
